TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Special,fieldingPosition,wktDetails
1,1,AB de Villiers,bowled,,65,1,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-1,"32.6 goes through him! 140 kph, massive wicket. Bumrah's maiden Test wicket is de Villiers. Full delivery outside off, de Villiers drives but that seam movement again, takes the inside edge and hits off stump. Throws his head back as he heard the stumps disturbed. 126/4",,,"1. AB de Villiers b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
1,2,F du Plessis,caught,WP Saha,0,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-2,"28.4 that's a ripper from Bumrah! How do you play this? Absolutely unplayable to be honest. Good length at 141ks, bursts off the pitch, and angling into Faf. He presses forward thinking it's a simple length ball but is surprised by the extra bounce and loosens his grip but the ball catches the top glove and flies through to Saha. What a brute of a ball from a Test debutant and a man playing his first first-class match after a year. #ScenesinNewlands 82/5",,Keeper,"2. F du Plessis WP Saha b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
1,3,Q de Kock,caught,WP Saha,8,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-3,"30.4 biiiiig nip-backer from Bumrah. Terrific ball. Saha goes up for a caught-behind appeal. Saha moves to his right and grabs it in front of his head. Top catch. Ultra Edge detects a spike. Umpire Kettleborough has to reverse his on-field not-out decision. De Kock has to go, and Kohli is pumped. Back of a length, starts outside off, and seams back in sharply. The batsman pushes outside the line and inside-edges it behind 92/6",,Keeper,"3. Q de Kock WP Saha b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
1,4,AB de Villiers,caught,B Kumar,35,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,bumrah-wkt-4,"41.2 pulled, but taken in the deep! Good length outside off and pulled off the back foot, doesn't have the distance as Bhuvi takes a sharp catch from inches inside the cow-corner boundary. India need 208 to win. 130/10",,Outfield,"4. AB de Villiers B Kumar b Bumrah
Test Match#: 1: v South Africa at Cape Town in 2018 (2nd innings)"
2,5,AK Markram,lbw,,1,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-5,"1.2 plumb! Markram is leaping up at this short of a length ball to try and defend, but like he's done all Test long, Bumrah gets this one to skid on at knee height. He's trapped on the back leg and there's little doubt in that 1/1",,,"5. AK Markram lbw Bumrah
Test Match#: 2: v South Africa at Centurion in 2018 (2nd innings)"
2,6,HM Amla,lbw,,1,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-6,"5.3 gone! Another one keeps low! Oh no one's going on the back foot from now on. Bumrah has destroyed that tenet of Test batting for now. Back of a length ball coming in at middle stump. He's looking to flick on the up, but the bat is about 3 inches above the ball, which has hit him on the knee roll 3/2",,,"6. HM Amla lbw Bumrah
Test Match#: 2: v South Africa at Centurion in 2018 (2nd innings)"
2,7,F du Plessis,caught,JJ Bumrah,48,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,bumrah-wkt-7,88.4 sticks out the right hand takes this in his follow through! Deceives him with the slower ball. An offcutter. Full and in at off stump. Faf shapes to drive inside out through extra cover. It pings off the inside half and hangs up for Bumrah who is fully in control this time. 245/9,,return catch,"7. F du Plessis JJ Bumrah b Bumrah
Test Match#: 2: v South Africa at Centurion in 2018 (2nd innings)"
3,8,F du Plessis,bowled,,8,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-8,"41.4 lets it go and loses his off stump! He stands and stares at the pitch, perhaps wondering why it hasn't made the ball bounce over the wickets. But Bumrah, when he pitches it up, gets balls to skid through and there's that exaggerated angle into the right-hander as well. 107/5",,,"8. F du Plessis b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,9,Q de Kock,caught,PA Patel,8,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-9,"47.2 inside edge to the keeper. De Kock goes for the on-the-up drive and presents a big gap between bat and pad. Bumrah exploits it with just enough help from the pitch, making the ball move against the angle, miss the middle, snag a good chunk of wood through to Parthiv 125/6",,Keeper,"9. Q de Kock PA Patel b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,10,HM Amla,caught,HH Pandya,61,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-10,"59.5 oh he's gonna rue middling that shot. After being beaten; tested on the inside and outside edges, he hits it perfectly off the sweet spot. A very full ball on leg stump - the kind he makes disappear - ends up in the hands of deep square leg. India celebrate. They still have a slight lead. And the last specialist batsman is gone. What an innings though from the Mighty mighty Hash. That little change to his technique; the bravery to do so on viciously tough conditions and the aptitude to not just survive but thrive. 169/7",,Outfield,"10. HM Amla HH Pandya b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,11,AL Phehlukwayo,lbw,,9,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-11,"65.3 strikes him on the full in front of leg and he's gone. But Phehlukwayo has reviewed. A Bumrah full toss. And it's a pretty devastating full toss too. Fast, swinging in just enough that the batsman's flick shot is of little use. HawkEye returns three reds 194/9",,,"11. AL Phehlukwayo lbw Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,12,L Ngidi,caught,PA Patel,0,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-12,"65.5 maiden five-for! He completes it with a short ball down leg, which Ngidi gloves through to the wicketkeeper. Parthiv takes a fine catch, running to his left and then putting in the dive. 194/10",,Keeper,"12. L Ngidi PA Patel b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,13,AB de Villiers,caught,AM Rahane,6,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-13,"55.6 taken at gully. India are back. A back of a length delivery kicks up a bit more than de Villiers thinks, it also straightens enough to snatch the edge right off the shoulder of the bat and settle safely in Rahane's hands. This X-factor is why India persisted with Bumrah on this tour and despite looking their weakest bowler in this innings, he has dismissed one of the world's best batsmen 131/3",,close-in,"13. AB de Villiers AM Rahane b Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
3,14,Q de Kock,lbw,,0,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,bumrah-wkt-14,"63.1 pins him lbw! Very little de Kock can do when a 139 kph delivery, pitching short, comes in at the height of the knee-roll. He can't adjust to the ball that quick, doing that much. Amid the celebrations, Kohli seems to point somewhere in a manner that suggests ""stop talking."" 145/5",,,"14. Q de Kock lbw Bumrah
Test Match#: 3: v South Africa at Johannesburg in 2018 (2nd innings)"
4,15,KK Jennings,caught,RR Pant,20,2,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-15,12.1 and another! Tentative from Jennings against a short and wide ball. Instinctive jab and his decision to withdraw the bat comes too late. It's kissed the edge and flown wide to Pant's left. He's skipped across comfortably and taken his second Test catch. It's almost a repeat of India's innings from yesterday. India have gained the momentum now. 54/2,,Keeper,"15. KK Jennings RR Pant b Bumrah
Test Match#: 4: v England at Nottingham in 2018 (2nd innings)"
4,16,JC Buttler,caught,SN Thakur (sub),39,2,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-16,"38.2 Buttler toe-ends a catch to Thakur, the substitute, at long-on. Back of a length and outside off, Buttler has a roundhouse swipe at it but only miscues it to the deep 161/10",,Outfield,"16. JC Buttler SN Thakur (sub) b Bumrah
Test Match#: 4: v England at Nottingham in 2018 (2nd innings)"
4,17,JE Root,caught,KL Rahul,13,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-17,"24.3 superb catch at second slip! This is a thick edge, with Root pushing hard at a shortish delivery, wide enough to be left alone, but Bumrah's angle lures Root into playing. It always lures right-handers into playing. The outside edge flies to Rahul's right. It's nearly past him as he thrusts out both of his hands, eyes on the ball all the way, and takes it like an absolute boss. Splendid work! Five catches for KL, all at second slip. 62/3",,slip-cordon,"17. JE Root KL Rahul b Bumrah
Test Match#: 4: v England at Nottingham in 2018 (2nd innings)"
4,18,JC Buttler,lbw,,106,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-18,82.3 lbw while leaving the ball! Buttler reviews. He has to. But he won't find much joy here. It's very full. It's always heading towards the stumps. Very very strange that he'd leave this ball. Pins him on the knee roll. And ball-tracking says it would clip middle stump. Umpire's call - and Gaffaney had said it was out. So Buttler has to go. India find the wicket they've been looking for all afternoon and the Trent Bridge crowd rises as one to applaud a fine cricketer who might just have fallen in love with Test cricket all over again 231/5,,,"18. JC Buttler lbw Bumrah
Test Match#: 4: v England at Nottingham in 2018 (2nd innings)"
4,19,JM Bairstow,bowled,,0,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-19,"82.4 rip-snorting ball of pure awesomeness. Bairstow might have been at his absolute best and he wouldn't have been able to do anything against this peach. It angles into the right-hander, lulling him into thinking he would have to block around middle and leg. Then it pitches and holds its line. Such trickery, Such devious glorious trickery. India have clearly made the right call with the new ball, which has crashed into off stump with a vengeance 231/6",Yes,,"19. JM Bairstow b Bumrah
Test Match#: 4: v England at Nottingham in 2018 (2nd innings)"
4,20,CR Woakes,caught,RR Pant,4,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-20,84.4 caught behind! The inswinger. An outswinger. And now a bouncer. Bumrah's just showing off. He's in a monster mood and he's showing off. Woakes has an issue with the short ball. He fell to one in the first innings. And this time he's faced with the same old scary thing. Except this is quicker. And it's coming right for his head. He doesn't have time to get out of the way. He tries to fend. He tries so hard. But all he does is glove it through to Pant. 241/7,,Keeper,"20. CR Woakes RR Pant b Bumrah
Test Match#: 4: v England at Nottingham in 2018 (2nd innings)"
4,21,SCJ Broad,caught,KL Rahul,20,4,v England,Nottingham,England,18-Aug-18,Test # 2316,bumrah-wkt-21,"96.2 taken at second slip, and this time, it is five for Bumrah! Pitches the new ball up, on middle, has the left-hander squared up because of the angle. Broad has to defend. The ball takes the outside edge. Rahul is waiting at second slip. How many catches does he have now? Seven, I hear. Meanwhile, Bumrah's leading India towards a dominant Test win, and along the way, he puts his finger on his lips looking at a part of the crowd that is screaming no-ball 291/9",,slip-cordon,"21. SCJ Broad KL Rahul b Bumrah
Test Match#: 4: v England at Nottingham in 2018 (2nd innings)"
5,22,KK Jennings,lbw,,0,1,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-22,"2.1 oh, what has he done?! Jennings plays no stroke and is rapped plumb in front! Did he lose sight of it somehow? I think it only just pitched in line with leg stump, then shot through at knee height and Jennings simply padded up! A complete brain freeze, and Jennings' miserable series continues... Straightening off the pitch, hitting the top of middle stump, Bumrah strikes! 1/1",,,"22. KK Jennings lbw Bumrah
Test Match#: 5: v England at Southampton in 2018 (2nd innings)"
5,23,JM Bairstow,caught,RR Pant,6,1,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-23,"12.6 got him! This is beautiful bowling from Bumrah. He makes it so hard when he gets the occasional one to straighten away from the right-hander - as he's done here. His usual angle is so pronounced, into the batsman, that he almost always has to play at it, especially when it's so close to his off stump. Not so much Bairstow did wrong, defending off the back foot and pretty close to his body, but all he manages is a tickle through to the keeper 28/3",,Keeper,"23. JM Bairstow RR Pant b Bumrah
Test Match#: 5: v England at Southampton in 2018 (2nd innings)"
5,24,SCJ Broad,lbw,,17,1,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-24,"73.6 big appeal for lbw, and Kumar Dharmasena did not hesitate for a moment. I wonder about the height, though. Actually, no. Broad was playing back to a good length ball that came back in sharply, and ended up playing down the wrong line of it. Looked plumb on second viewing 240/9",,,"24. SCJ Broad lbw Bumrah
Test Match#: 5: v England at Southampton in 2018 (2nd innings)"
5,25,AN Cook,caught,KL Rahul,12,3,v England,Southampton,England,30-Aug-18,Test # 2317,bumrah-wkt-25,"12.1 taken at slip! Rahul has to go through a nervous moment, grabbing at the ball as it evades his first grab. But the second third is solid. Cook walks with his team still trailing. Oh, he was desperate for runs, and this is the worst ball when in that mindset. It's full. It's wide. It's ripe for the drive. The left-hander goes for it and just a hint of nip away off the pitch ensures it's the edge that connects and not the middle 24/1",,slip-cordon,"25. AN Cook KL Rahul b Bumrah
Test Match#: 5: v England at Southampton in 2018 (2nd innings)"
6,26,AN Cook,bowled,,71,1,v England,The Oval,England,07-Sep-18,Test # 2318,bumrah-wkt-26,"63.2 there will be no hundred for Cook unless he gets it in the third innings. There is a disappointed sigh at The Oval but then the crowd rises for Cook as he goes off after playing one on for 71. This is on a length, just outside off, possible with the switched seam position to send it back in. Cook is surprised by the movement back in, and gets the inside edge as he looks to defend 133/2",,,"26. AN Cook b Bumrah
Test Match#: 6: v England at The Oval in 2018 (2nd innings)"
6,27,JE Root,lbw,,0,1,v England,The Oval,England,07-Sep-18,Test # 2318,bumrah-wkt-27,"63.5 A long long long appeal with no reviews left, and Joel Wilson finally gives it. Joe Root reviews it. This is full, and looks pretty adjacent. Not sure why it took Wilson that long to give it. Root falls over playing an inswinger, also plays across the line, not showing it the full face of the bat. The ball hits him in front of off, and would have hit leg. The replay confirms that, and England lose a review. Pretty ordinary review again. India right back in this 133/3",,,"27. JE Root lbw Bumrah
Test Match#: 6: v England at The Oval in 2018 (2nd innings)"
6,28,AU Rashid,lbw,,15,1,v England,The Oval,England,07-Sep-18,Test # 2318,bumrah-wkt-28,"97.1 this one skids through, and Rashid is given out lbw. He reviews it, though. This is on a length, outside off, seams back in as opposed to swinging. Goes past the inside edge, hits him low on pad. The review shows firstly that Bumrah has made the adjustment with the front foot and is nowhere near flirting with the no-ball. The projection shows it is clipping leg, and the decision stays, but England don't lose the review 214/8",,,"28. AU Rashid lbw Bumrah
Test Match#: 6: v England at The Oval in 2018 (2nd innings)"
7,29,PSP Handscomb,caught,RR Pant,34,2,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-29,"57.3 big edge and gone! First wicket for Bumrah and Handscomb has thrown it away after doing all the hard work. He was deep inside the crease, looks to use the pace and steer this down to square third man but ends up getting a big fat edge that is gleefully accepted by Pant. India nudge ahead. 120/5",,Keeper,"29. PSP Handscomb RR Pant b Bumrah
Test Match#: 7: v Australia at Adelaide in 2018 (2nd innings)"
7,30,PJ Cummins,lbw,,10,2,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-30,"80.3 huge appeal given LBW! Cummins reviews. He didn't offer a shot to a huge inswinger and was given by Nigel Llong. It hit the back leg outside the line but no shot means it still can be out. Ball tracking says ... hitting. Out! This tailed back a long way, very late, he opted to leave out of the hand and it speared back into the back leg, and ball tracking showed it was crashing into off. 177/7",,,"30. PJ Cummins lbw Bumrah
Test Match#: 7: v Australia at Adelaide in 2018 (2nd innings)"
7,31,MA Starc,caught,RR Pant,15,2,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-31,"91.4 caught behind! He got tempted into a big drive and paid the price. This was full outside off, he swung very hard, it just nipped away, he got a thin edge through to Pant who took it head high. 204/8",,Keeper,"31. MA Starc RR Pant b Bumrah
Test Match#: 7: v Australia at Adelaide in 2018 (2nd innings)"
7,32,SE Marsh,caught,RR Pant,60,4,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-32,"72.1 caught behind! The big breakthrough! What a delivery. Perfect length, angled in forcing Marsh to defend from the crease, it just nipped away a touch, he just got the faintest of edges pushing at it, and it goes through to Pant! He's given out. Marsh and Paine have a chat but he knows he touched it. There's the smallest of hot spots. Marsh is on his way 156/6",,Keeper,"32. SE Marsh RR Pant b Bumrah
Test Match#: 7: v Australia at Adelaide in 2018 (2nd innings)"
7,33,TD Paine,caught,RR Pant,41,4,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-33,"84.1 caught by Pant! He skied a pull shot! A short ball outside off, it climbed a little more than expected, he tried to pull through midwicket, gets a thick top edge and it flies straight up in the air, Pant runs around with a smile on his face and takes his 10th catch of the match! 187/7",,Keeper,"33. TD Paine RR Pant b Bumrah
Test Match#: 7: v Australia at Adelaide in 2018 (2nd innings)"
7,34,PJ Cummins,caught,V Kohli,28,4,v Australia,Adelaide,Australia,06-Dec-18,Test # 2333,bumrah-wkt-34,"108.4 edged and taken at first slip. Kohli with a straightforward offering. He saw the width, couldn't hold back and looked to flay that behind point, but this one may have just got stuck on the pitch, got to him later than he expected and simply lobbed to the slips. Kohli roars, releases the pent-up frustration, India now just one wicket away. Valiant effort from Cummins 259/9",,InField,"34. PJ Cummins V Kohli b Bumrah
Test Match#: 7: v Australia at Adelaide in 2018 (2nd innings)"
8,35,AJ Finch,lbw,,50,1,v Australia,Perth,Australia,14-Dec-18,Test # 2334,bumrah-wkt-35,"35.2 LBW! Plumb. This was fired full and straight at 140kph, it was a half-volley but Finch wiped across it, missed, and was hit flush on the shin in front of middle. Not problems for Chris Gaffaney to raise the finger. Well bowled Jasprit Bumrah 112/1",,,"35. AJ Finch lbw Bumrah
Test Match#: 8: v Australia at Perth in 2018 (2nd innings)"
8,36,TD Paine,lbw,,38,1,v Australia,Perth,Australia,14-Dec-18,Test # 2334,bumrah-wkt-36,"105.2 and another one! Back-to-back strikes for India, Paine trapped in front as he goes well back in his crease to quite a full delivery although he has called for the review. Well, it's shading towards leg stump...and it's smashing leg stump 310/8",,,"36. TD Paine lbw Bumrah
Test Match#: 8: v Australia at Perth in 2018 (2nd innings)"
8,37,MS Harris,bowled,,20,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,bumrah-wkt-37,"17.2 left alone and he's bowled! Good length from round the wicket, Harris thought this would shape away (or he just got it badly wrong) lifts the bat out of the line and off stump is clipped 59/1",,,"37. MS Harris b Bumrah
Test Match#: 8: v Australia at Perth in 2018 (2nd innings)"
8,38,PJ Cummins,bowled,,1,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,bumrah-wkt-38,"83.3 and that one almost goes along the deck! No chance for Cummins, good luck anyone batting out there at the moment. It's straight, back of a length, barely gets off the surface and smashes into middle stump. All Cummins can do is think he'll have ball in hand soon 198/8",,,"38. PJ Cummins b Bumrah
Test Match#: 8: v Australia at Perth in 2018 (2nd innings)"
8,39,MA Starc,bowled,,14,3,v Australia,Perth,Australia,14-Dec-18,Test # 2334,bumrah-wkt-39,"93.2 bowled him! The change of angle works. Fast spearing into the top of off stump and he is stuck on the crease flailing at it, beaten for sheer pace and it cannons into the top of off 243/10",,,"39. MA Starc b Bumrah
Test Match#: 8: v Australia at Perth in 2018 (2nd innings)"
9,40,MS Harris,caught,I Sharma,22,2,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-40,"13.3 Bumrah follows the short ball on the hips with an even shorter one at the chest of Harris. The batsman dares to hook, despite the presence of Ishant at the long leg boundary. Harris is cramped for room, he can't control the shot, and holes out to long leg. Ishant didn't have to move at all in the deep 36/2",,slip-cordon,"40. MS Harris I Sharma b Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,41,SE Marsh,lbw,,19,2,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-41,"32.6 oh he's got him with a stunning ball! Unbelievable control on the slower ball from Bumrah. They won't bother reviewing this lbw, he's been struck on the full, right in front of middle stump. World class from Bumrah. Quick-arm whippy action, Marsh has been dealing with those yorkers solidly so far, but he's early on this because he's rolled his fingers over it and got it to dip. Can't play that, it's just too good. Marsh can't believe it. He was looking good and seemed to have taken them to some sort of safety, only to be outdone by a moment of genius. He's dejected, but there's really no way to adjust when you're hurrying down to deal with a yorker and it ends up drifting in slowly. The perfect deception. 89/4",Yes,,"41. SE Marsh lbw Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,42,TM Head,bowled,,20,2,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-42,"36.4 Booooooomrah! The big dipper that got Shaun Marsh was barely 115ks. This is a 142kph full ball from wide of the crease from around the wicket. It swings back in late, Head is beaten for pace and plays all around it. Bumrah nails the stumps again. Top-class bowling from him 92/5",,,"42. TM Head b Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,43,TD Paine,caught,RR Pant,22,2,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-43,"64.3 Bumrah returns and finds the outside edge of Paine. Is that a clean catch from Pant to his right? Paine walks off. Replays suggest it's a clean catch. Pant throws himself to his right and gets his gloves underneath the ball. Nicely done. Good length, angling in towards off, and straightening away. Paine hangs back in the crease, dangles his bat out in the channel, and snicks it behind 147/8",,Keeper,"43. TD Paine RR Pant b Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,44,NM Lyon,lbw,,0,2,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-44,"66.2 Bumrah claims a five-wicket haul! He follows the bouncer with a full rocket - 146.1ks - catches Lyon in the crease. He's beaten for pace, shuffling across and playing around his front pad in front of middle and leg. Lyon doesn't review, probably umpire's call. Yup, the tracker returns umpire's call on leg stump 151/9",,,"44. NM Lyon lbw Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,45,JR Hazlewood,bowled,,0,2,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-45,"66.5 Make it six wickets for Bumrah. After shaking up Hazlewood with a brace of short balls, Bumrah slips in the full inswinger. Hazlewood backs away outside leg, Bumrah chases the moving batsman. Hazlewood gets a thick inside edge that disturbs the off stump 151/10",,,"45. JR Hazlewood b Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,46,AJ Finch,caught,V Kohli,3,4,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-46,"1.2 What have you done, Aaron? Shorter than the previous ball and slanting back into the batsman outside off, he's cramped for room, but still aims to cut it over the cordon. He only manages to waft a catch to Kohli at second slip. Poor shot selection and Bumrah has his seventh wicket in the match. Sharp catch from Kohli. It flew to him and he took it in front of his face 6/1",,slip-cordon,"46. AJ Finch V Kohli b Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,47,SE Marsh,lbw,,44,4,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-47,"32.2 appeal for lbw, and given! But Marsh reviews. Big wicket, if this stands. It's a length ball on off that's angling in. Marsh misses the flick, and the ball hits his front leg. Impact looks to be in front of leg, but is that going down leg stump? No it's not! Umpire's call so Marsh must walk back. Another wicket for Booom-rah! 114/4",,,"47. SE Marsh lbw Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
9,48,PJ Cummins,caught,CA Pujara,63,4,v Australia,Melbourne,Australia,26-Dec-18,Test # 2337,bumrah-wkt-48,"88.2 edged and taken! Pujara takes a moderately difficult catch. Length ball angling into Cummins, and he's forced to defend. The ball swings away oh so slightly and when Cummins sticks his bat out, all the ball can do is take a thick outside-edge off his bat. Pouched at first slip. An excellent Test match for Cummins comes to an end 261/9",,slip-cordon,"48. PJ Cummins CA Pujara b Bumrah
Test Match#: 9: v Australia at Melbourne in 2018 (2nd innings)"
10,49,PSP Handscomb,bowled,,37,2,v Australia,Sydney,Australia,03-Jan-19,Test # 2339,bumrah-wkt-49,"89.4 drags it on! Handscomb swipes at the air. Bumrah screams with joy. Australia fading away. This is that nagging line, on and around the off stump, trapping the batsman in his crease. It might have kept low a touch too. Certainly has him playing a little later than he should have and the inside edge knocks over the stumps. Joint-highest wicket-taker for the series 257/8",,,"49. PSP Handscomb b Bumrah
Test Match#: 10: v Australia at Sydney in 2019 (2nd innings)"
11,50,DM Bravo,lbw,,18,2,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,bumrah-wkt-50,"29.1 traps him lbw but Bravo goes for a review. Was a length ball, Bravo shuffled across but missed the flick and got hit in front of middle as the ball came in with the angle. A loud appeal from Bumrah and up goes the finger. Replays confirm the ball would have gone on to hit the middle and leg. West Indies lose the review 88/4",,,"50. DM Bravo lbw Bumrah
Test Match#: 11: v West Indies at North Sound in 2019 (2nd innings)"
11,51,KC Brathwaite,caught,RR Pant,1,4,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,bumrah-wkt-51,"1.4 there's the first one! Fullish, in the channel outside off stump, and tries to fish at this. Takes the outside edge, and straight into the keeper's gloves 7/1",,Keeper,"51. KC Brathwaite RR Pant b Bumrah
Test Match#: 11: v West Indies at North Sound in 2019 (2nd innings)"
11,52,JD Campbell,bowled,,7,4,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,bumrah-wkt-52,"3.5 make that two! Classic delivery, full on off stump and swinging into the left-hander. Campbell tries to drive straight, but the ball goes between bat and body and dislodges his middle stump. Bumrah celebrates like ¯\_(?)_/¯ 10/2",,,"52. JD Campbell b Bumrah
Test Match#: 11: v West Indies at North Sound in 2019 (2nd innings)"
