TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Special,fieldingPosition,wktDetails
11,53,DM Bravo,bowled,,2,4,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,bumrah-wkt-53,"7.3 full, on off stump, but swinging into his pads. Bravo looks to drive from off stump, but the ball - once again - finds the gap between bat and body. This is magical bowling 15/5",Yes,,"53. DM Bravo b Bumrah
Test Match#: 11: v West Indies at North Sound in 2019 (2nd innings)"
11,54,SD Hope,bowled,,2,4,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,bumrah-wkt-54,"11.1 off stump takes a walk, Bumrah is on fire. West Indies six down for 27. Was a length ball around off, Hope played for the line but it moved away enough to beat the outside edge and clatter into the off stump 27/6",,,"54. SD Hope b Bumrah
Test Match#: 11: v West Indies at North Sound in 2019 (2nd innings)"
11,55,JO Holder,bowled,,8,4,v West Indies,North Sound,West Indies,22-Aug-19,Test # 2358,bumrah-wkt-55,"15.2 that's a five-for for Bumrah, he points to the name on his shirt. And what a ball it was, fuller around off, Holder was stuck deep inside his crease, looks to defend but it moves away to hit the off stump 37/7",Yes,,"55. JO Holder b Bumrah
Test Match#: 11: v West Indies at North Sound in 2019 (2nd innings)"
12,56,JD Campbell,caught,RR Pant,2,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,bumrah-wkt-56,"6.4 got him! Oh it was coming. An over of sustained pressure from Bumrah. Shortens the length this time, gets him on the back foot. But it's still full enough to move marginally away from him and take the outside edge. Pant holds on high to his left. Good take that 9/1",,Keeper,"56. JD Campbell RR Pant b Bumrah
Test Match#: 12: v West Indies at Kingston in 2019 (2nd innings)"
12,57,DM Bravo,caught,KL Rahul,4,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,bumrah-wkt-57,8.2 taken low at second slip! Bumrah remains unplayable to this West Indies top order. Length ball swinging away from middle stump. He had no choice but to play at that. Didn't even look to push at it or anything. It's off the high part of the outside edge and KL Rahul lunges low to his right to grab onto this. Bumrah got Campbell and Bravo identically with inswingers last match. He's got them identically with outswingers this time. 13/2,,slip-cordon,"57. DM Bravo KL Rahul b Bumrah
Test Match#: 12: v West Indies at Kingston in 2019 (2nd innings)"
12,58,SSJ Brooks,lbw,,0,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,bumrah-wkt-58,"8.3 lbw appeal and given! Brooks reviews. That looked dead on front. Length and swung in from outside off. It's hit his back pad...but was there front pad first? Yes, but that doesn't matter. He was looking to go across the line, was trapped in front of middle stump and that is hitting leg. Review lost, wicket lost. 13/3",,,"58. SSJ Brooks lbw Bumrah
Test Match#: 12: v West Indies at Kingston in 2019 (2nd innings)"
12,59,RL Chase,lbw,,0,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,bumrah-wkt-59,"8.4 Kohli reviews an lbw decision. It's a full inswinger that raps Chase above the toe in front of middle stump as he looks to flick. Kohli was the only one interested in that review. It swung a long way down, did the others think it was going down? Well, they were wrong if they did! That is hitting leg stump. All three reds! Jasprit Bumrah has a hat-trick! You could hear Kohli screeching that there wasn't an inside edge on that. it's paid off. What a bowler. Chase was pinned with a stride across. He didn't even want to review! 13/4",,,"59. RL Chase lbw Bumrah
Test Match#: 12: v West Indies at Kingston in 2019 (2nd innings)"
12,60,KC Brathwaite,caught,RR Pant,10,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,bumrah-wkt-60,"12.5 got him! There's only so long you can resist Bumrah. Not when he's in this bowling zone. He's got five wickets in the blink of an eye. This was bowled fuller and drew Brathwaite into the drive. He went for it, and only got a thin edge. Excellent catch by Pant behind the stumps, diving to his right. 22/5",,Keeper,"60. KC Brathwaite RR Pant b Bumrah
Test Match#: 12: v West Indies at Kingston in 2019 (2nd innings)"
12,61,JO Holder,caught,RG Sharma (sub),18,2,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,bumrah-wkt-61,"28.1 this is unbelievable. Just give him the ball and a West Indian wicket will fall. This time it didn't need a traditional Bumrah magic delivery. It was the start of a new over, so he bowled it back of a length and outside off, safe. But Holder decided that having a thrash at it would be a good idea and only managed to send it ballooning up in the air to mid-off. Rohit settles under it and gobbles it up. Bumrah has six. 78/7",,InField,"61. JO Holder RG Sharma (sub) b Bumrah
Test Match#: 12: v West Indies at Kingston in 2019 (2nd innings)"
12,62,J Blackwood,caught,RR Pant,38,4,v West Indies,Kingston,West Indies,30-Aug-19,Test # 2359,bumrah-wkt-62,"48.4 taken by the keeper! Length ball outside off, reaches out for it away from the body. Decent amount of outside edge on that, carries low, but is a regulation catch. Kept poking, and as predicted, one has caught the edge. Bumrah and Kohli looked in the long-off direction and told someone to shut up with a finger on their lips. Not sure whom. Perhaps some spectators? 159/5",,Keeper,"62. J Blackwood RR Pant b Bumrah
Test Match#: 12: v West Indies at Kingston in 2019 (2nd innings)"
13,63,BJ Watling,caught,RR Pant,14,2,v New Zealand,Wellington,New Zealand,21-Feb-20,Test # 2385,bumrah-wkt-63,"71.2 and Bumrah has his first wicket in some 48 international overs. Dream start for India. Bounce for Bumrah. Rises chest high from short of a length, just outside off. He doesn't need to play at it, but he does, and ends up shouldering it through to Pant 216/6",,Keeper,"63. BJ Watling RR Pant b Bumrah
Test Match#: 13: v New Zealand at Wellington in 2020 (2nd innings)"
14,64,KS Williamson,caught,RR Pant,3,2,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,bumrah-wkt-64,"28.1 and Bumrah has the big one. Kohli is pumped up. Mental error from Williamson. He defends at a widish length ball, expecting it to come back in. It does come back, but not as much as expected, and takes the outside edge through to Pant 69/2",,Keeper,"64. KS Williamson RR Pant b Bumrah
Test Match#: 14: v New Zealand at Christchurch in 2020 (2nd innings)"
14,65,BJ Watling,caught,RA Jadeja,0,2,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,bumrah-wkt-65,"50.3 lose drive, and Jadeja pulls off a beauty at point. This is full and wide, and it calls for a drive. He has resisted two scoring opportunities earlier in the over, but goes after this one. He hasn't hit it up and over, it is a flat hit. Jadeja at point dives to his left, gets both hands to it, and makes this look way easier than it is. India are switched on right at this moment 153/6",,InField,"65. BJ Watling RA Jadeja b Bumrah
Test Match#: 14: v New Zealand at Christchurch in 2020 (2nd innings)"
14,66,TG Southee,caught,RR Pant,0,2,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,bumrah-wkt-66,"50.5 and India are on absolute song here. A nothing shot from Southee, the kind of thing that happens when you are under incredible pressure. Short of a length, wide enough to be left alone, but he has a fend at it, and Pant gets an easy catch as the bounce is too much to handle for Southee 153/7",,Keeper,"66. TG Southee RR Pant b Bumrah
Test Match#: 14: v New Zealand at Christchurch in 2020 (2nd innings)"
14,67,KS Williamson,caught,AM Rahane,5,4,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,bumrah-wkt-67,"30.6 gloves this gully. Ripper of a delivery from Bumrah! This took him by surprise. This one zipped through, Williamson looked to duck under it but this was so quick that he couldn't get his gloves out of the way. Jaffa 112/2",,slip-cordon,"67. KS Williamson AM Rahane b Bumrah
Test Match#: 14: v New Zealand at Christchurch in 2020 (2nd innings)"
14,68,TA Blundell,bowled,,55,4,v New Zealand,Christchurch,New Zealand,29-Feb-20,Test # 2387,bumrah-wkt-68,"32.5 the off-stump is flattened! What a ball from Bumrah. Now, now. Can only wonder what if they had another 80 runs to play with. This ball wickedly comes back in from outside off, skids through to beat Blundell's half-hearted forward push. This is very, very close to being a no-ball though. The umpire is having a look at the point of landing. Is the heel behind the line? I think there is nothing. Even if there is, I can't see it. Let's see what the third umpire thinks. Okay, he's been given out, millimetres. 121/3",,,"68. TA Blundell b Bumrah
Test Match#: 14: v New Zealand at Christchurch in 2020 (2nd innings)"
15,69,MS Wade,lbw,,8,2,v Australia,Adelaide,Australia,17-Dec-20,Test # 2396,bumrah-wkt-69,"32.5 the off-stump is flattened! What a ball from Bumrah. Now, now. Can only wonder what if they had another 80 runs to play with. This ball wickedly comes back in from outside off, skids through to beat Blundell's half-hearted forward push. This is very, very close to being a no-ball though. The umpire is having a look at the point of landing. Is the heel behind the line? I think there is nothing. Even if there is, I can't see it. Let's see what the third umpire thinks. Okay, he's been given out, millimetres. 121/3",,,"69. MS Wade lbw Bumrah
Test Match#: 15: v Australia at Adelaide in 2020 (2nd innings)"
15,70,JA Burns,lbw,,8,2,v Australia,Adelaide,Australia,17-Dec-20,Test # 2396,bumrah-wkt-70,"16.6 another lbw, looks very good for India. Burns reviews. It's a Bumrah yorker - or one that Burns has made with his stride. Middle and leg stump line. He walks across the stumps and gets locked up with the front leg across into the off side. He's hit his toe with the bat and that shows a mark on Snicko. Umpire is satsified there's no bat on it. And Burns himself seemed to know it because he consulted for a while before taking the review. The only thing that can save him now is if that ball is sliding down leg. It is not. Umpire's call. This one decidedly closer than the last one, it's just about brushing leg stump. Burns not pleased about that. His dogged innings has ended less than ten minutes before the long break. Bumrah has swung the session India's way 29/2",,,"70. JA Burns lbw Bumrah
Test Match#: 15: v Australia at Adelaide in 2020 (2nd innings)"
16,71,JA Burns,caught,RR Pant,0,1,v Australia,Melbourne,Australia,26-Dec-20,Test # 2398,bumrah-wkt-71,"4.2 there's the nick and Burns' poor run continues! Bumrah has got him nicking off to a delivery he should've looked to leave. Bumrah angles this back in from wide of the crease, this one angles in to hit the seam and then leave Burns as he pokes at it. Pant takes a regulation catch. 10/1",,Keeper,"71. JA Burns RR Pant b Bumrah
Test Match#: 16: v Australia at Melbourne in 2020 (2nd innings)"
16,72,TM Head,caught,AM Rahane,38,1,v Australia,Melbourne,Australia,26-Dec-20,Test # 2398,bumrah-wkt-72,"41.5 and he gets his man. Rahane pouches one at gully. Short of length just outside off, was coming in with the angle, Head looked to push at it but the ball held its line. Didn't bounce as much as Head expected but Rahane took a neat, tumbling catch to his right 124/4",,close-in,"72. TM Head AM Rahane b Bumrah
Test Match#: 16: v Australia at Melbourne in 2020 (2nd innings)"
16,73,MA Starc,caught,Mohammed Siraj,7,1,v Australia,Melbourne,Australia,26-Dec-20,Test # 2398,bumrah-wkt-73,"67.1 bounces him out! Angled in short, furious pace and it's too good for Starc who is late on the hook, gets the top edge and Siraj takes it nice and easy at fine leg. 164/8",,slip-cordon,"73. MA Starc Mohammed Siraj b Bumrah
Test Match#: 16: v Australia at Melbourne in 2020 (2nd innings)"
16,74,NM Lyon,lbw,,20,1,v Australia,Melbourne,Australia,26-Dec-20,Test # 2398,bumrah-wkt-74,"71.5 two bouncers followed by a fuller one. It was fast and straight and thuds into Lyon's pads before he could get his bat down. Up goes the finger. The only doubt is if it's going down. There's no bat, the impact is on middle and leg and it would have just gone on to clip the leg stump, the on-field umpire's call stays as it is. Bumrah gets his fourth 191/9",,,"74. NM Lyon lbw Bumrah
Test Match#: 16: v Australia at Melbourne in 2020 (2nd innings)"
16,75,SPD Smith,bowled,,8,3,v Australia,Melbourne,Australia,26-Dec-20,Test # 2398,bumrah-wkt-75,"32.2 got him! What a big wicket against the run of play. Smith shuffles across to tickle this fine, misses it and the ball clips the bails. Smith is wondering how that hit the stumps, but there was no other way the bail was going to come off. What a big moment in the game. Smith was so far across that he thought he had the line covered, apparently not. India are chipping away. His lean run in the series continues. 71/3",,,"75. SPD Smith b Bumrah
Test Match#: 16: v Australia at Melbourne in 2020 (2nd innings)"
16,76,PJ Cummins,caught,MA Agarwal,22,3,v Australia,Melbourne,Australia,26-Dec-20,Test # 2398,bumrah-wkt-76,"82.5 the resistance is over! It's a snorter from Bumrah that has Cummins fending awkwardly. This was a short ball coming right at his throat, hard hands that froze as the ball ballooned to Agarwal who takes a dolly at second slip. Huge relief for India. 156/7",,slip-cordon,"76. PJ Cummins MA Agarwal b Bumrah
Test Match#: 16: v Australia at Melbourne in 2020 (2nd innings)"
17,77,C Green,lbw,,0,1,v Australia,Sydney,Australia,07-Jan-21,Test # 2402,bumrah-wkt-77,"84.5 Bumrah strikes with the new ball at the stroke of lunch, Green falls for a 21-ball duck. Was a length ball around off that jagged back on to beat the forward defence and hit the front pad. An appeal for lbw and the umpire had no doubt in mind. Replays confirm it would have hit the top of middle 249/5",,,"77. C Green lbw Bumrah
Test Match#: 17: v Australia at Sydney in 2021 (2nd innings)"
17,78,TD Paine,bowled,,1,1,v Australia,Sydney,Australia,07-Jan-21,Test # 2402,bumrah-wkt-78,"88.5 timber. Sensational from Bumrah, went clean through Paine, having opened up a big gap between bat and pad. On a length, jagging in sharply, helped by the angle too. It's not full enough to drive, but has drawn Paine into striding out to drive it, and then zipped through in the yawning gap. Stumps shattered. 255/6",,,"78. TD Paine b Bumrah
Test Match#: 17: v Australia at Sydney in 2021 (2nd innings)"
17,79,C Green,caught,WP Saha (sub),84,3,v Australia,Sydney,Australia,07-Jan-21,Test # 2402,bumrah-wkt-79,"86.6 and now the length ball, nipping in, Green stepping away to thrash it again, but is beaten. Or is he? Saha's gone up in spontaneous appeal and the umpire has given it. Green takes a pause and then reviews. There is a spike as the ball passes bat, and it does look like it took a feather of an inside edge, so Green's entertaining knock ends. Bumrah has some reward at last, having bowled his heart out. 312/6",,Keeper,"79. C Green WP Saha (sub) b Bumrah
Test Match#: 17: v Australia at Sydney in 2021 (2nd innings)"
18,80,DW Lawrence,lbw,,0,1,v England,Chennai,India,05-Feb-21,Test # 2409,bumrah-wkt-80,"25.4 one brings two, and Bumrah has sent Lawrence back with a beauty! He had defended the last two balls from the crease, with no real forward stride, and a similar crease-bound response is of no use against this ball, which is a little fuller and tails in sharply, late. Not sure if it's reverse-swing or movement off the seam, but he was an absolute sitting duck, playing hurriedly across the line and missing. He thought of a review, but decided against it. Struck him on the back pad, and ball-tracking says it would have hit middle stump 63/2",,,"80. DW Lawrence lbw Bumrah
Test Match#: 18: v England at Chennai in 2021 (2nd innings)"
18,81,DP Sibley,lbw,,87,1,v England,Chennai,India,05-Feb-21,Test # 2409,bumrah-wkt-81,"89.3 big appeal, and it's given! Bumrah does what Bumrah does, for the second time today. Sibley has reviewed the lbw decision, though... Again, it's the quick, straight one, and this one is pitched right up too. Sibley, playing all around his front pad, is struck low, and the only doubt there can be is whether it might miss leg stump. There's no inside edge. Bam. That's struck his pad low, on the full, and it's smacking into a good chunk of leg stump according to ball-tracking. Outstanding innings from Sibley, and it's taken a Bumrah special to end it 263/3",,,"81. DP Sibley lbw Bumrah
Test Match#: 18: v England at Chennai in 2021 (2nd innings)"
18,82,DM Bess,lbw,,34,1,v England,Chennai,India,05-Feb-21,Test # 2409,bumrah-wkt-82,"185.3 full and skidding in, in addition to sharping angling in from over the wicket, Bumrah traps Bess in the crease. He plays around his front pad in line with around middle and India find some joy with the new ball. The tracker reckons that it would've hit a decent chunk of leg stump 567/9",,,"82. DM Bess lbw Bumrah
Test Match#: 18: v England at Chennai in 2021 (2nd innings)"
18,83,JE Root,lbw,,40,3,v England,Chennai,India,05-Feb-21,Test # 2409,bumrah-wkt-83,"23.5 appeal for lbw, immediately given. Nothing Root could do about it, and India's celebrations are muted because, though it's a big wicket, the ball kept low, and that's not a good sign going into the fourth innings. Back of a length, sneaks through low to strike Root's back leg at about shin height as he looks to defend this, right in line with off stump. Okay, maybe it didn't keep that low. Just caught the replay, and the ball came back in sharply, and it hit him on the knee roll 101/5",,,"83. JE Root lbw Bumrah
Test Match#: 18: v England at Chennai in 2021 (2nd innings)"
21,84,RJ Burns,lbw,,0,1,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-84,"0.5 huge appeal, and it's given! It seemed to be full enough to be pitching in line with the stumps and hitting them too, but Burns has reviewed it... On the fuller side of a length, pitching in line with leg stump or maybe just outside, and straightening in to beat the inside edge as Burns defends without a big stride forward. It's pitched just in line with leg stump, and Hawkeye has it clipping the top of middle stump, so Burns will have to walk back. Bumrah's struck in the first over of the series! The previous ball left Burns from a similar spot and beat his outside edge. This one's held its line and beaten the inside edge. Top, top bowling 0/1",,,"84. RJ Burns lbw Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,85,JC Buttler,caught,RR Pant,0,1,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-85,"55.5 got him, this is terrific bowling. Buttler's been edgy right through this innings. He's seen out 17 dot balls, and now he presses forward and feels for a length ball that's angling into the corridor from wide of the crease and straightening off the deck. All he manages is a thin edge through to Pant. Didn't play that well at all, pressing forward but his weight leaning back on a half-hearted drive 145/6",,Keeper,"85. JC Buttler RR Pant b Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,86,SCJ Broad,lbw,,4,1,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-86,"59.6 big lbw appeal, surely that's out, and yes, no hesitation from Michael Gough. Full, angling into middle stump and swinging late to straighten. Broad is camped on the back foot, looks to play the angle, and he's beaten by a long way and is hit on the back pad. It's out in every way possible 160/9",,,"86. SCJ Broad lbw Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,87,JM Anderson,bowled,,1,1,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-87,"65.4 ping! Savage off-stump seeking inswinging yorker. Absolutely no chance of keeping that out! Reminiscent of Mitchell Starc to Ben Stokes in the World Cup group match at Lord's. Bending in wickedly to the left-hander, thumping the stump flush... and if Stokes couldn't combat it, Jimmy had no chance! 183/10",,,"87. JM Anderson b Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,88,Z Crawley,caught,RR Pant,6,3,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-88,"16.6 got him, that was very uncertain from Crawley! Bumrah induced the uncertainty with his angle from wide of the crease, angling the ball into the corridor and hitting the pitch hard, just short of a length. That angle almost forces the batter to play even when he doesn't want to. Gets it to straighten from there, and Crawley feels for the ball and edges to Pant, who takes a very good catch diving low to his right 46/2",,Keeper,"88. Z Crawley RR Pant b Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,89,DP Sibley,caught,RR Pant,28,3,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-89,"45.5 gone, that's a super catch from Pant! And a rare loose shot from Sibley. Wasn't full enough to drive through the covers, and it was swinging in too. Goes at it with an angled bat, and the inside edge goes a long way to Pant's left, and he plucks it out with a full-length dive. Good strong step to the left first, to enable him to push off and throw himself to his left, and catch it in both gloves 135/3",,Keeper,"89. DP Sibley RR Pant b Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,90,JE Root,caught,RR Pant,109,3,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-90,"80.6 got him, Bumrah gets the big wicket with the second new ball! Length ball, fifth-stump channel. Root gets forward for an open-faced steer. He's played a lot of those in this innings, but Bumrah gets the new ball to straighten and bounce a little more, and that's enough to find the edge through to Pant. It hit the bat quite high, near its shoulder 274/7",,Keeper,"90. JE Root RR Pant b Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,91,SM Curran,caught,Mohammed Siraj,32,3,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-91,"84.4 and Curran goes just as the lead touches 200. Short, and it comes in off the pitch to cramp Curran completely for room. I don't know what he was trying to do, but he's forced into a hurried pull from just in front of his hip, and pops a simple catch to Siraj at mid-on 295/8",,InField,"91. SM Curran Mohammed Siraj b Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
21,92,SCJ Broad,bowled,,0,3,v England,Nottingham,England,04-Aug-21,Test # 2428,bumrah-wkt-92,"84.5 nobbled first ball! Well, what's Broad to do with that? Full, straight, swinging in, from round the wicket, lasering in on the toes, ricocheting onto the middle stump. And now we've got a fight to the death! 295/9",,,"92. SCJ Broad b Bumrah
Test Match#: 21: v England at Nottingham in 2021 (2nd innings)"
22,93,RJ Burns,caught,Mohammed Siraj,0,4,v England,Lord's,England,12-Aug-21,Test # 2429,bumrah-wkt-93,"0.3 India have one of the 10. Burns is gone for a duck. Bumrah is pumped up. Looks like an easy enough ball down the leg side, Burns looks to turn to leg, early into it, the leading edge lobs up, and Siraj runs in from mid-off to take the catch 1/1",,InField,"93. RJ Burns Mohammed Siraj b Bumrah
Test Match#: 22: v England at Lord's in 2021 (2nd innings)"
22,94,JE Root,caught,V Kohli,33,4,v England,Lord's,England,12-Aug-21,Test # 2429,bumrah-wkt-94,"22.3 is it all over? Bumrah has got the big one. India are halfway there. This is a superb delivery. Wide on the crease, on the fuller side of good length, angling in towards off, and Root has to defend. It holds its line a little, and takes a healthy edge. Straight into the hands of first slip 67/5",,slip-cordon,"94. JE Root V Kohli b Bumrah
Test Match#: 22: v England at Lord's in 2021 (2nd innings)"
22,95,OE Robinson,lbw,,9,4,v England,Lord's,England,12-Aug-21,Test # 2429,bumrah-wkt-95,"50.5 slower ball, Robinson is hit in front... umpire Illingworth shakes his head but Bumrah begs for a review. Did it pitch in line? Did it pitch in line? If so, this is a genius bit of bowling. It did land on leg stump, an offcutter with that same fast arm, and smashing into the back leg. Three reds on Hawk-Eye, hitting middle stump two-thirds of the way up, and India have broken the stand! Brilliantly done, the last thing Robinson was expecting and he was completely flummoxed 120/8",Yes,,"95. OE Robinson lbw Bumrah
Test Match#: 22: v England at Lord's in 2021 (2nd innings)"
23,96,JE Root,bowled,,121,2,v England,Leeds,England,25-Aug-21,Test # 2432,bumrah-wkt-96,"117.2 bowled him! Bumrah finds a way to sneak through! Full, pitches outside off, and Root goes for the cover drive and leaves a gap between bat and pad. The ball nips back in, sneaks through that gap, and leaves the stumps in a bit of a mess 383/6",,,"96. JE Root b Bumrah
Test Match#: 23: v England at Leeds in 2021 (2nd innings)"
23,97,OE Robinson,bowled,,0,2,v England,Leeds,England,25-Aug-21,Test # 2432,bumrah-wkt-97,"132.2 splat! Robinson backs away and throws the bat, Bumrah hits off stump, and that will be that - no need for Jimmy to face any chin music 432/10",,,"97. OE Robinson b Bumrah
Test Match#: 23: v England at Leeds in 2021 (2nd innings)"
24,98,RJ Burns,bowled,,5,2,v England,The Oval,England,02-Sep-21,Test # 2433,bumrah-wkt-98,"3.2 dragged on! Burns plays late again, and it is his undoing! Nips back from a full length, takes the inside-edge, off an angled bat, and India have a morale-boosting incision! 5/1",,,"98. RJ Burns b Bumrah
Test Match#: 24: v England at The Oval in 2021 (2nd innings)"
24,99,H Hameed,caught,RR Pant,0,2,v England,The Oval,England,02-Sep-21,Test # 2433,bumrah-wkt-99,"3.6 terrible shot from Hameed and now India are into England! Short, tempting the cut, but the ball gets big on the stroke, zipping off the deck, scuffing the splice of an over-urgent stroke, and swallowed by Pant. This is on now! It was a 0 to 100 stroke from Hameed, not a shot in anger up until then, then the kitchen sink. 6/2",,Keeper,"99. H Hameed RR Pant b Bumrah
Test Match#: 24: v England at The Oval in 2021 (2nd innings)"
24,100,OJ Pope,bowled,,2,4,v England,The Oval,England,02-Sep-21,Test # 2433,bumrah-wkt-100,"64.5 done him! The full length splatters Pope's stumps, and Bumrah has 100 Test wickets! The angle into the right-hander, nip off the seam too, and a deflection off the back leg completes the castling! Pope was resolutely fending off the stump-to-stump line, but this one just had too much heat on it, and he was found wanting! 146/4",Yes,,"100. OJ Pope b Bumrah
Test Match#: 24: v England at The Oval in 2021 (2nd innings)"
24,101,JM Bairstow,bowled,,0,4,v England,The Oval,England,02-Sep-21,Test # 2433,bumrah-wkt-101,"66.3 stunning yorker! Extra effort, inswinging at pace, and bursting clean through Bairstow's static feet! It's yet another duck against India for Jonny. And now this contest is cooked! 146/5",,,"101. JM Bairstow b Bumrah
Test Match#: 24: v England at The Oval in 2021 (2nd innings)"
25,102,D Elgar,caught,RR Pant,1,2,v South Africa,Centurion,South Africa,26-Dec-21,Test # 2443,bumrah-wkt-102,"0.5 and Bumrah snares the first one! A length ball at 133kph, angling across the left-hander. Elgar was stuck at the crease. Looks to slice-defend it but only manages an outside edge, Pant takes a smart catch to his left 2/1",,Keeper,"102. D Elgar RR Pant b Bumrah
Test Match#: 25: v South Africa at Centurion in 2021 (2nd innings)"
25,103,KA Maharaj,caught,AM Rahane,12,2,v South Africa,Centurion,South Africa,26-Dec-21,Test # 2443,bumrah-wkt-103,"62.3 taken at third man, Rahane there. Short of length outside off, Maharaj goes for the cut but fails to control it. Ends up hitting it aerially and behind the stumps. An easy catch for Rahane 197/10",,slip-cordon,"103. KA Maharaj AM Rahane b Bumrah
Test Match#: 25: v South Africa at Centurion in 2021 (2nd innings)"
25,104,HE van der Dussen,bowled,,11,4,v South Africa,Centurion,South Africa,26-Dec-21,Test # 2443,bumrah-wkt-104,"36.4 corker. There is absolutely nothing a batter can do about that. That is a Bumrah special. Length ball outside off from wide of the crease and it cuts back in as if taking a sharp right at a traffic light, RvD has front foot out, he thinks he has the line covered and shoulders arms, but the ball knocks back the top of off stump. Whew. 74/3",,,"104. HE van der Dussen b Bumrah
Test Match#: 25: v South Africa at Centurion in 2021 (2nd innings)"
